Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 15.83      0.82     0.82  1267108     0.00     0.00  VoxelGenerator::getWorleyValueAt(float, float, float)
 11.00      1.39     0.57   162400     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  9.65      1.89     0.50   911282     0.00     0.00  Chunk::setVisibilityByNeighbors(int, int, int)
  9.07      2.36     0.47  1818376     0.00     0.00  VoxelGenerator::eval(float, float, float, int)
  7.34      2.74     0.38        1     0.38     1.14  VoxelGenerator::createWorleyGradient(unsigned int)
  6.76      3.09     0.35      608     0.00     0.00  Chunk::Chunk(int, int, Camera*)
  5.02      3.35     0.26  4124461     0.00     0.00  void std::vector<std::pair<Chunk::bloc*, unsigned int>, std::allocator<std::pair<Chunk::bloc*, unsigned int> > >::_M_realloc_insert<std::pair<Chunk::bloc*, unsigned int> >(__gnu_cxx::__normal_iterator<std::pair<Chunk::bloc*, unsigned int>*, std::vector<std::pair<Chunk::bloc*, unsigned int>, std::allocator<std::pair<Chunk::bloc*, unsigned int> > > >, std::pair<Chunk::bloc*, unsigned int>&&)
  4.63      3.59     0.24 56844333     0.00     0.00  Vec3::operator-(Vec3 const&) const
  3.86      3.79     0.20 57259800     0.00     0.00  Vec3::getLength() const
  3.47      3.97     0.18 14428748     0.00     0.00  VoxelGenerator::gradientDotV(int, float, float, float)
  2.51      4.10     0.13 65751448     0.00     0.00  Vec3::Vec3(float, float, float)
  2.51      4.23     0.13 56991955     0.00     0.00  Vec3::operator+(Vec3 const&) const
  2.32      4.35     0.12      142     0.00     0.01  Chunk::initChunk()
  2.12      4.46     0.11 50346658     0.00     0.00  Vec3::operator[](int)
  1.93      4.56     0.10       97     0.00     0.02  Chunk::updateVisibility()
  1.74      4.65     0.09   750528     0.00     0.00  VoxelGenerator::Noise2D(float, float, float, float, float, int, int, float, float)
  1.74      4.74     0.09   260169     0.00     0.00  Chunk::getBlockBiome(int, int, bool)
  1.54      4.82     0.08 16787010     0.00     0.00  Vec3::Vec3()
  1.54      4.90     0.08      793     0.00     0.00  Chunk::~Chunk()
  0.97      4.95     0.05     2099     0.00     0.00  TextManager::renderText(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, float, float, float, Vec3)
  0.58      4.98     0.03  1675702     0.00     0.00  Vec2::Vec2(Vec2 const&)
  0.39      5.00     0.02  8594076     0.00     0.00  Vec3::Vec3(Vec3 const&)
  0.39      5.02     0.02   130945     0.00     0.00  Chunk::draw(Shader*)
  0.39      5.04     0.02   129467     0.00     0.00  Matrix::Matrix()
  0.39      5.06     0.02        1     0.02     1.28  Texture::Texture(float)
  0.19      5.07     0.01  1959485     0.00     0.00  Vec3::operator==(Vec3 const&) const
  0.19      5.08     0.01  1048576     0.00     0.00  std::_Function_handler<float (float, float), Texture::Texture(float)::{lambda(float, float)#1}>::_M_invoke(std::_Any_data const&, float&&, float&&)
  0.19      5.09     0.01   945554     0.00     0.00  Vec3::operator*(float) const
  0.19      5.10     0.01   309133     0.00     0.00  AABB::isOnFrustum(Frustum const&) const
  0.19      5.11     0.01   307673     0.00     0.00  Camera::getFrustum() const
  0.19      5.12     0.01   238301     0.00     0.00  void std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int> > >::_M_realloc_insert<std::pair<float, unsigned int> >(__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int> > > >, std::pair<float, unsigned int>&&)
  0.19      5.13     0.01   224042     0.00     0.00  void std::vector<Vec3, std::allocator<Vec3> >::_M_realloc_insert<Vec3>(__gnu_cxx::__normal_iterator<Vec3*, std::vector<Vec3, std::allocator<Vec3> > >, Vec3&&)
  0.19      5.14     0.01   150540     0.00     0.00  Matrix::~Matrix()
  0.19      5.15     0.01   125729     0.00     0.00  RectangularCuboid::drawFaceInstance(Shader*, unsigned int, unsigned int, unsigned int, unsigned int)
  0.19      5.16     0.01     5456     0.00     0.00  Matrix::operator*(Matrix const&) const
  0.19      5.17     0.01     1010     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >::_M_get_insert_unique_pos(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
